glottocode;iso_code;wals_code;language;genus;family;longitude;latitude;area;continent;macroarea;macrocontinent.3;macrocontinent.4;circumpacific
xooo1239;nmn;xoo;!Xóõ;Southern Khoisan;Khoisan;21,5;-24;S_Africa;Africa;Africa;ow;afr;no
hoaa1235;huc;huc;=|Hoan;=|Hoan;Khoisan;25;-25,5;S_Africa;Africa;Africa;ow;afr;no
abau1245;aau;aba;Abau;Upper Sepik;Sepik;141,25;-4;N_Coast_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
abip1241;axb;abi;Abipón;Guaicuruan;Guaicuruan;-61;-29;SE_South_America;S_America;South America;nw;nw;yes
abkh1244;abk;abk;Abkhaz;Northwest Caucasian;Northwest Caucasian;41;43,08333;Greater_Mesopotamia;W_&_SW_Eurasia;Eurasia;ow;eur;no
abun1252;kgr;abu;Abun;North-Central Bird's Head;West Papuan;132,5;-0,5;N_Coast_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
achi1257;ace;ace;Acehnese;Malayo-Sumbawan;Austronesian;95,5;5,5;Southeast_Asia;S_&_SE_Asia;Eurasia;ow;eur;no
acha1250;aca;acg;Achagua;Northern Arawakan;Arawakan;-72,25;4,41667;NE_South_America;S_America;South America;nw;nw;yes
achu1248;acu;acu;Achuar;Jivaroan;Jivaroan;-76;-2,66667;NE_South_America;S_America;South America;nw;nw;yes
achu1247;acv;acm;Achumawi;Palaihnihan;Hokan;-121;41,5;Basin_and_Plains;W_N_America;North America;nw;nw;yes
west2632;kjq;aco;Acoma;Keresan;Keresan;-107,58333;34,91667;Basin_and_Plains;E_N_America;North America;nw;nw;yes
adan1251;adn;adg;Adang;Greater Alor;Timor-Alor-Pantar;124;-8,2;Oceania;NG_&_Oceania;Papunesia;pac;pac;yes
adyg1241;ady;ady;Adyghe (Abzakh);Northwest Caucasian;Northwest Caucasian;40,58333;45,23333;Greater_Mesopotamia;W_&_SW_Eurasia;Eurasia;ow;eur;no
aeky1238;awi;awi;Aekyom/Awin;Awin-Pare;Awin-Pare;141,41667;-5,75;Interior_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
afri1274;afr;afr;Afrikaans;Germanic;Indo-European;22;-31;S_Africa;Africa;Africa;ow;afr;no
agar1252;agd;aga;Agarabi;Eastern Highlands;Trans-New Guinea;146;-6,16667;N_Coast_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
ainu1240;ain;ain;Ainu;Ainu;Ainu;143;43;N_Coast_Asia;NC_Asia;Eurasia;ow;eur;yes
ajas1235;aja;aja;Aja;Kresh;Nilo-Saharan;25,66667;7,33333;African_Savannah;Africa;Africa;ow;afr;no
akan1250;aka;akn;Akan (Asante);Kwa;Niger-Congo;-1,25;6,5;African_Savannah;Africa;Africa;ow;afr;no
fant1241;fat;;Akan (Fante);Kwa;Niger-Congo;;;African_Savannah;Africa;Africa;ow;afr;no
alam1246;amp;ala;Alamblak;Sepik Hill;Sepik;143,33333;-4,66667;N_Coast_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
alaw1244;alh;alw;Alawa;Maran;Australian;134,25;-15,16667;N_Australia;Australia;Australia;pac;pac;yes
gheg1238;aln;alb;Albanian;Albanian;Indo-European;20;41;Europe;W_&_SW_Eurasia;Eurasia;ow;eur;no
aleu1260;ale;ale;Aleut;Aleut;Eskimo-Aleut;-166;54;N_Coast_Asia;NC_Asia;North America;nw;nw;yes
alle1238;;alc;Allentiac;Huarpe;Huarpe;-68;-31;Andean;S_America;South America;nw;nw;yes
alse1251;aes;als;Alsea;Alsea;Oregon Coast;-123,91667;44,66667;Alaska-Oregon;W_N_America;North America;nw;nw;yes
alun1238;alp;aln;Alune;Central Malayo-Polynesian;Austronesian;128,33333;-3;Oceania;NG_&_Oceania;Papunesia;pac;pac;yes
aman1265;amn;amn;Amanab;Border;Border;141,25;-3,58333;N_Coast_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
ambu1247;abt;amb;Ambulas;Middle Sepik;Sepik;143;-3,83333;N_Coast_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
amel1241;aey;ame;Amele;Madang;Trans-New Guinea;145,58333;-5,25;N_Coast_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
amha1245;amh;amh;Amharic;Semitic;Afro-Asiatic;38;10;Greater_Abyssinia;Africa;Africa;ow;afr;no
amis1246;ami;ami;Amis;East Formosan;Austronesian;121,33;23,33;Southeast_Asia;S_&_SE_Asia;Papunesia;pac;pac;yes
guer1243;amu;amz;Amuzgo;Amuzgoan;Oto-Manguean;-98;16,83333;Mesoamerica;C_America;North America;nw;nw;yes
ando1256;ano;adk;Andoke;Andoke;Andoke;-72;-0,66667;NE_South_America;S_America;South America;nw;nw;yes
anem1249;anz;ane;Anêm;Anêm;Anêm;149,08333;-5,58333;N_Coast_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
ango1254;agg;ang;Anggor;Senagi;Senagi;141,16667;-3,75;N_Coast_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
anin1240;aoi;ann;Anindilyakwa;Anindilyakwa;Australian;136,5;-14;N_Australia;Australia;Australia;pac;pac;yes
ansu1237;and;;Ansus;South Halmahera - West New Guinea;Austronesian;135,87;-1,75;N_Coast_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
apur1254;apu;apu;Apurinã;Purus;Arawakan;-67;-9;NE_South_America;S_America;South America;nw;nw;yes
arab1268;arl;arb;Arabela;Zaparoan;Zaparoan;-75,16667;-2;NE_South_America;S_America;South America;nw;nw;yes
egyp1253;arz;aeg;Arabic (Egyptian);Semitic;Afro-Asiatic;31;30;N_Africa;Africa;Africa;ow;afr;no
arao1248;aro;ana;Araona;Tacanan;Tacanan;-67,75;-12,33333;NE_South_America;S_America;South America;nw;nw;yes
buki1249;ape;arp;Arapesh (Mountain);Kombio-Arapesh;Torricelli;143,16667;-3,46667;N_Coast_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
araw1276;arw;ara;Arawak;Northern Arawakan;Arawakan;-55,16667;5,5;NE_South_America;S_America;South America;nw;nw;yes
nucl1235;hye;arw;Armenian (Western);Armenian;Indo-European;43,5;38,5;Greater_Mesopotamia;W_&_SW_Eurasia;Eurasia;ow;eur;no
tamn1235;tml;asm;Asmat;Asmat-Kamoro;Trans-New Guinea;138,5;-5,5;S_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
assa1263;asm;ass;Assamese;Indic;Indo-European;93;26;Indic;S_&_SE_Asia;Eurasia;ow;eur;no
toca1235;asu;asu;Asuriní;Tupi-Guaraní;Tupian;-49,5;-3,5;NE_South_America;S_America;South America;nw;nw;yes
kunz1244;kuz;atm;Atacameño;Kunza;Kunza;-69;-23;Andean;S_America;South America;nw;nw;yes
atak1252;aqp;atk;Atakapa;Atakapa;Atakapa;-93,5;30;E_North_America;E_N_America;North America;nw;nw;yes
atay1247;tay;ata;Atayal;Atayalic;Austronesian;121,33333;24,5;Southeast_Asia;S_&_SE_Asia;Papunesia;ow;eur;no
atoh1238;aqm;;Atohwaim;Kayagar;Kayagar;138,67;-6,27;S_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
atsu1245;atw;ats;Atsugewi;Palaihnihan;Hokan;-121;40,75;Basin_and_Plains;W_N_America;North America;nw;nw;yes
auuu1241;avt;au;Au;Wapei-Palei;Torricelli;142,08333;-3,58333;N_Coast_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
avar1256;ava;ava;Avar;Avar-Andic-Tsezic;Nakh-Daghestanian;46,5;42,5;Greater_Mesopotamia;W_&_SW_Eurasia;Eurasia;ow;eur;no
avok1242;avu;avo;Avokaya;Moru-Ma'di;Nilo-Saharan;30;4,66667;African_Savannah;Africa;Africa;ow;afr;no
awac1239;kwi;awp;Awa Pit;Barbacoan;Barbacoan;-78,25;1,5;Andean;S_America;South America;nw;nw;yes
awng1244;awn;awn;Awngi;Central Cushitic;Afro-Asiatic;36,66667;10,83333;Greater_Abyssinia;Africa;Africa;ow;afr;no
awtu1239;kmn;awt;Awtuw;Ram;Sepik;142;-3,58333;N_Coast_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
ayiw1239;nfl;ayw;Ayiwo;Oceanic;Austronesian;166,25;-10,33333;Oceania;NG_&_Oceania;Papunesia;pac;pac;yes
nucl1667;ayc;aym;Aymara;Aymaran;Aymaran;-69;-17;Andean;S_America;South America;nw;nw;yes
ayor1240;ayo;ayr;Ayoreo;Zamucoan;Zamucoan;-59,25;-20,25;SE_South_America;S_America;South America;nw;nw;yes
sout2697;azb;aze;Azerbaijani;Turkic;Altaic;48,5;40,5;Greater_Mesopotamia;W_&_SW_Eurasia;Eurasia;ow;eur;no
veng1238;bav;bab;Babungo;Bantoid;Niger-Congo;10,41667;6,11667;African_Savannah;Africa;Africa;ow;afr;no
bagi1246;bmi;bag;Bagirmi;Bongo-Bagirmi;Nilo-Saharan;16;11,66667;African_Savannah;Africa;Africa;ow;afr;no
furu1242;fuu;bgr;Bagiro;Bongo-Bagirmi;Nilo-Saharan;20,58333;4,33333;S_Africa;Africa;Africa;ow;afr;no
bagv1239;kva;bgv;Bagvalal;Avar-Andic-Tsezic;Nakh-Daghestanian;46,16666667;42,58333333;Greater_Mesopotamia;W_&_SW_Eurasia;Eurasia;ow;eur;no
cent2004;bca;bai;Bai;Bai;Sino-Tibetan;100;26;Southeast_Asia;S_&_SE_Asia;Eurasia;ow;eur;no
indo1317;bdl;baj;Bajau (Sama);Sama-Bajaw;Austronesian;123;-4,33333;Oceania;NG_&_Oceania;Papunesia;ow;eur;no
bali1280;bbn;bvi;Bali-Vitu;Oceanic;Austronesian;149,11667;-4,9;N_Coast_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
bamb1269;bam;bam;Bambara;Western Mande;Niger-Congo;-7,5;12,5;African_Savannah;Africa;Africa;ow;afr;no
bani1255;bwi;bnw;Baniwa;Northern Arawakan;Arawakan;-66,83333;2,66667;NE_South_America;S_America;South America;nw;nw;yes
bara1377;bbb;baa;Barai;Koiarian;Trans-New Guinea;148,08333;-9,33333;S_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
bara1380;bsn;brs;Barasano;Tucanoan;Tucanoan;-70,66667;-0,16667;NE_South_America;S_America;South America;nw;nw;yes
bare1276;bae;bae;Baré;Northern Arawakan;Arawakan;-67;1;NE_South_America;S_America;South America;nw;nw;yes
bari1284;bfa;bar;Bari;Nilotic;Nilo-Saharan;31,66667;5;African_Savannah;Africa;Africa;ow;afr;no
bari1297;mot;;Bari (Chibchan);Chibchan Proper;Chibchan;-72,94;9,08;NE_South_America;S_America;South America;nw;nw;yes
bash1264;bak;bsk;Bashkir;Turkic;Altaic;58;53;Inner_Asia;NC_Asia;Eurasia;ow;eur;no
bask1236;bst;;Basketo;North Omotic;Afro-Asiatic;36,58;6,46;Greater_Abyssinia;Africa;Africa;ow;afr;no
basq1248;eus;bsq;Basque;Basque;Basque;-3;43;Europe;W_&_SW_Eurasia;Eurasia;ow;eur;no
bauz1241;bvz;bzi;Bauzi;East Geelvink Bay;East Geelvink Bay;137,5;-2,5;Interior_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
bawm1236;bgr;baw;Bawm;Kuki-Chin;Sino-Tibetan;92,25;22,5;Indic;S_&_SE_Asia;Eurasia;ow;eur;no
idaa1241;dbj;beg;Begak-Ida'an;North Borneo;Austronesian;118,83333;5,25;Southeast_Asia;S_&_SE_Asia;Papunesia;ow;eur;no
beja1238;bej;bej;Beja;Beja;Afro-Asiatic;36;18;N_Africa;Africa;Africa;ow;afr;no
belh1239;byw;bel;Belhare;Mahakiranti;Sino-Tibetan;87,3;26,96667;Indic;S_&_SE_Asia;Eurasia;ow;eur;no
bell1243;blc;bco;Bella Coola;Bella Coola;Salishan;-126,66667;52,5;Alaska-Oregon;W_N_America;North America;nw;nw;yes
bela1254;bel;blr;Belorussian;Slavic;Indo-European;28;54;Inner_Asia;NC_Asia;Eurasia;ow;eur;no
cent2194;tzm;bma;Berber (Middle Atlas);Berber;Afro-Asiatic;-5;33;N_Africa;Africa;Africa;ow;afr;no
tari1263;rif;brf;Berber (Rif);Berber;Afro-Asiatic;-4;34,5;N_Africa;Africa;Africa;ow;afr;no
beri1254;bkl;brk;Berik;Tor;Tor-Orya;138,83333;-2,25;N_Coast_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
bert1248;wti;ber;Berta;Berta;Nilo-Saharan;34,66667;10,33333;Greater_Abyssinia;Africa;Africa;ow;afr;no
beto1236;;bti;Betoi;Betoi;Betoi;-71,25;7,16667;NE_South_America;S_America;South America;nw;nw;yes
biak1248;bhw;bik;Biak;South Halmahera - West New Guinea;Austronesian;136;-1;N_Coast_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
bili1260;byn;bln;Bilin;Central Cushitic;Afro-Asiatic;38,5;15,75;Greater_Abyssinia;Africa;Africa;ow;afr;no
bilu1245;blb;bil;Bilua;Bilua;Solomons East Papuan;156,66667;-7,75;Oceania;NG_&_Oceania;Papunesia;pac;pac;yes
gunw1252;gup;bbw;Bininj Gun-Wok;Gunwinygic;Australian;133,75;-12,5;N_Australia;Australia;Australia;pac;pac;yes
bero1242;bom;bir;Birom;Platoid;Niger-Congo;8,83333;9,66667;African_Savannah;Africa;Africa;ow;afr;no
damu1236;adi;boq;Bokar;Tani;Sino-Tibetan;94,66667;28,5;Indic;S_&_SE_Asia;Eurasia;ow;eur;no
boko1266;bqc;bok;Boko;Eastern Mande;Niger-Congo;3,5;10,5;African_Savannah;Africa;Africa;ow;afr;no
bora1263;boa;bor;Bora;Boran;Huitotoan;-72,33333;-2,16667;NE_South_America;S_America;South America;nw;nw;yes
boro1282;bor;brr;Bororo;Bororo;Macro-Ge;-57;-16;NE_South_America;S_America;South America;nw;nw;yes
boru1252;brn;brc;Boruca;Talamanca;Chibchan;-83,25;8,83333;Mesoamerica;C_America;North America;nw;nw;yes
brah1256;brh;brh;Brahui;Northern Dravidian;Dravidian;67;28,5;Indic;S_&_SE_Asia;Eurasia;ow;eur;no
bret1244;bre;bre;Breton;Celtic;Indo-European;-3;48;Europe;W_&_SW_Eurasia;Eurasia;ow;eur;no
brib1243;bzd;bri;Bribri;Talamanca;Chibchan;-83;9,41667;Mesoamerica;C_America;North America;nw;nw;yes
budu1265;bdm;bud;Buduma;Biu-Mandara;Afro-Asiatic;14,5;13,5;African_Savannah;Africa;Africa;ow;afr;no
buga1247;bbh;;Bugan;Bugan;Austro-Asiatic;104,96;23,61;Southeast_Asia;S_&_SE_Asia;Eurasia;ow;eur;no
bura1267;bvr;bua;Burarra;Burarran;Australian;134,58333;-12,25;N_Australia;Australia;Australia;pac;pac;yes
mong1330;bxm;but;Buriat;Mongolic;Altaic;108;52;Inner_Asia;NC_Asia;Eurasia;ow;eur;no
nucl1310;mya;brm;Burmese;Burmese-Lolo;Sino-Tibetan;96;21;Southeast_Asia;S_&_SE_Asia;Eurasia;ow;eur;no
buru1296;bsk;bur;Burushaski;Burushaski;Burushaski;74,5;36,5;Indic;S_&_SE_Asia;Eurasia;ow;eur;no
busa1253;bqp;bus;Busa;Eastern Mande;Niger-Congo;4;9,66667;African_Savannah;Africa;Africa;ow;afr;no
cacu1241;cbv;cac;Cacua;Cacua-Nukak;Cacua-Nukak;-70;1,08333;NE_South_America;S_America;South America;nw;nw;yes
cahu1264;chl;cah;Cahuilla;Takic;Uto-Aztecan;-116,25;33,5;California;W_N_America;North America;nw;nw;yes
asha1243;cni;cax;Campa (Axininca);Pre-Andine Arawakan;Arawakan;-74;-12;Andean;S_America;South America;nw;nw;yes
cams1241;kbh;cam;Camsá;Camsá;Camsá;-77;1,16667;Andean;S_America;South America;nw;nw;yes
kana1291;knm;cnm;Canamarí;Katukinan;Katukinan;-68,5;-6,5;NE_South_America;S_America;South America;nw;nw;yes
cand1248;cbu;can;Candoshi;Candoshi;Candoshi;-77;-4,16667;Andean;S_America;South America;nw;nw;yes
cane1242;ram;ckr;Canela-Krahô;Ge-Kaingang;Macro-Ge;-46;-6;NE_South_America;S_America;South America;nw;nw;yes
yuec1235;yue;cnt;Cantonese;Chinese;Sino-Tibetan;113;23;Southeast_Asia;S_&_SE_Asia;Eurasia;ow;eur;no
gali1262;car;car;Carib;Cariban;Cariban;-56;5,5;NE_South_America;S_America;South America;nw;nw;yes
maqu1238;mch;cde;Carib (De'kwana);Cariban;Cariban;-65;5,5;NE_South_America;S_America;South America;nw;nw;yes
cash1254;cbs;csh;Cashinahua;Panoan;Panoan;-71,83333;-10,5;NE_South_America;S_America;South America;nw;nw;yes
cavi1250;cav;cav;Cavineña;Tacanan;Tacanan;-66,5;-13,33333;NE_South_America;S_America;South America;nw;nw;yes
cayu1262;cyb;cyv;Cayuvava;Cayuvava;Cayuvava;-65,5;-13,5;NE_South_America;S_America;South America;nw;nw;yes
east2563;cjm;cme;Cham (Eastern);Malayo-Sumbawan;Austronesian;108,5;11,33333;Southeast_Asia;S_&_SE_Asia;Eurasia;ow;eur;no
cham1312;cha;cha;Chamorro;Chamorro;Austronesian;144,75;13,45;Oceania;NG_&_Oceania;Papunesia;pac;pac;yes
west2644;ctp;cya;Chatino (Yaitepec);Zapotecan;Oto-Manguean;-97,25;16,25;Mesoamerica;C_America;North America;nw;nw;yes
chay1248;cbt;chy;Chayahuita;Cahuapanan;Cahuapanan;-77;-5,5;Andean;S_America;South America;nw;nw;yes
chec1245;che;chc;Chechen;Nakh;Nakh-Daghestanian;45,83333;43,25;Greater_Mesopotamia;W_&_SW_Eurasia;Eurasia;ow;eur;no
uppe1439;cjh;chl;Chehalis (Upper);Tsamosan;Salishan;-123;46,58333;Alaska-Oregon;W_N_America;North America;nw;nw;yes
chep1245;cdm;cpn;Chepang;Mahakiranti;Sino-Tibetan;84,75;27,67;Indic;S_&_SE_Asia;Eurasia;ow;eur;no
cher1273;chr;che;Cherokee;Southern Iroquoian;Iroquoian;-83,5;35,5;E_North_America;E_N_America;North America;nw;nw;yes
chic1272;pei;cjo;Chichimeca-Jonaz;Chichimec;Oto-Manguean;-100,5;21,66667;Mesoamerica;C_America;North America;nw;nw;yes
chim1301;cid;chi;Chimariko;Chimariko;Hokan;-123;41;California;W_N_America;North America;nw;nw;yes
chim1309;cbg;cma;Chimila;Chimila;Chibchan;-74;10;NE_South_America;S_America;South America;nw;nw;yes
coma1246;cco;ccm;Chinantec (Comaltepec);Chinantecan;Oto-Manguean;-96,41667;17,58333;Mesoamerica;C_America;North America;nw;nw;yes
lala1270;cnl;;Chinantec (Lalana);Chinantecan;Oto-Manguean;-96,01;17,58;Mesoamerica;C_America;North America;nw;nw;yes
leal1235;cle;cle;Chinantec (Lealao);Chinantecan;Oto-Manguean;-95,91667;17,33333;Mesoamerica;C_America;North America;nw;nw;yes
quio1240;chq;chq;Chinantec (Quiotepec);Chinantecan;Oto-Manguean;-96,66667;17,58333;Mesoamerica;C_America;North America;nw;nw;yes
soch1239;cso;csc;Chinantec (Sochiapan);Chinantecan;Oto-Manguean;-96,66667;17,75;Mesoamerica;C_America;North America;nw;nw;yes
tepe1279;cnt;cte;Chinantec (Tepetotutla);Chinantecan;Oto-Manguean;-96,5;17,83333;Mesoamerica;C_America;North America;nw;nw;yes
chin1286;chh;ckl;Chinook (Lower);Chinookan;Penutian;-123,5;46,25;Alaska-Oregon;W_N_America;North America;nw;nw;yes
wasc1239;wac;cku;Chinook (Upper);Chinookan;Penutian;-122,5;45,5;Alaska-Oregon;W_N_America;North America;nw;nw;yes
chiq1248;cax;cqt;Chiquitano;Chiquito;Chiquito;-60;-17,5;NE_South_America;S_America;South America;nw;nw;yes
chit1248;ctm;ctm;Chitimacha;Chitimacha;Chitimacha;-91;29,66667;E_North_America;E_N_America;North America;nw;nw;yes
choc1276;cho;cct;Choctaw;Muskogean;Muskogean;-88,5;32,25;E_North_America;E_N_America;North America;nw;nw;yes
chol1284;cht;cln;Cholón;Cholon;Cholon;-77,5;-8;Andean;S_America;South America;nw;nw;yes
high1242;chd;cho;Chontal (Highland);Tequistlatecan;Tequistlatecan;-95,75;16,25;Mesoamerica;C_America;North America;nw;nw;yes
lowl1260;clo;chx;Chontal (Huamelultec Oaxaca);Tequistlatecan;Tequistlatecan;-95,75;16;Mesoamerica;C_America;North America;nw;nw;yes
taba1266;chf;cmy;Chontal Maya;Mayan;Mayan;-92,58333;18,16667;Mesoamerica;C_America;North America;nw;nw;yes
chra1242;crw;chr;Chrau;Bahnaric;Austro-Asiatic;107,5;10,75;Southeast_Asia;S_&_SE_Asia;Eurasia;ow;eur;no
chuk1273;ckt;chk;Chukchi;Northern Chukotko-Kamchatkan;Chukotko-Kamchatkan;-173;67;N_Coast_Asia;NC_Asia;Eurasia;ow;eur;yes
barb1263;boi;cba;Chumash (Barbareño);Chumash;Chumash;-120,25;34,5;California;W_N_America;North America;nw;nw;yes
cint1239;cin;;Cinta Larga;Monde;Tupian;-60,83;-10,59;NE_South_America;S_America;South America;nw;nw;yes
coah1252;xcw;coa;Coahuilteco;Coahuiltecan;Coahuiltecan;-100;28;Basin_and_Plains;C_America;North America;nw;nw;yes
coca1259;cod;coc;Cocama;Tupi-Guaraní;Tupian;-74,5;-5;NE_South_America;S_America;South America;nw;nw;yes
cofa1242;con;cof;Cofán;Cofán;Cofán;-77,16667;0,16667;Andean;S_America;South America;nw;nw;yes
coma1245;com;cmn;Comanche;Numic;Uto-Aztecan;-101,5;33,5;Basin_and_Plains;E_N_America;North America;nw;nw;yes
coos1249;csz;coo;Coos (Hanis);Coosan;Oregon Coast;-124,16667;43,5;Alaska-Oregon;W_N_America;North America;nw;nw;yes
copt1239;cop;cop;Coptic;Egyptian-Coptic;Afro-Asiatic;32;26;N_Africa;Africa;Africa;ow;afr;no
elna1235;crn;cor;Cora;Corachol;Uto-Aztecan;-104,83333;22,16667;Mesoamerica;C_America;North America;nw;nw;yes
corn1251;cor;crn;Cornish;Celtic;Indo-European;-5;50,33333;Europe;W_&_SW_Eurasia;Eurasia;ow;eur;no
plai1258;crk;cre;Cree (Plains);Algonquian;Algic;-110;54;E_North_America;E_N_America;North America;nw;nw;yes
cuib1242;cui;cui;Cuiba;Guahiban;Guahiban;-70;6,5;NE_South_America;S_America;South America;nw;nw;yes
daga1275;dgz;dag;Daga;Dagan;Dagan;149,33333;-10;S_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
sout2789;dga;dga;Dagaare;Gur;Niger-Congo;-2,66667;10,5;African_Savannah;Africa;Africa;ow;afr;no
dagb1246;dag;dgb;Dagbani;Gur;Niger-Congo;-0,5;9,58333;African_Savannah;Africa;Africa;ow;afr;no
daur1238;dta;dgr;Dagur;Mongolic;Altaic;124;48;Inner_Asia;NC_Asia;Eurasia;ow;eur;no
dama1272;uhn;;Damal;Damal;Damal;137,5;-4,17;Interior_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
mala1522;mbp;dam;Damana;Aruak;Chibchan;-73,5;11;NE_South_America;S_America;South America;nw;nw;yes
dann1241;daf;dan;Dan;Eastern Mande;Niger-Congo;-8;7,5;African_Savannah;Africa;Africa;ow;afr;no
lowe1415;dni;dni;Dani (Lower Grand Valley);Dani;Trans-New Guinea;138,83333;-4,33333;Interior_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
darg1241;dar;drg;Dargwa;Lak-Dargwa;Nakh-Daghestanian;47,41667;42,25;Greater_Mesopotamia;W_&_SW_Eurasia;Eurasia;ow;eur;no
dato1239;tcc;dat;Datooga;Nilotic;Nilo-Saharan;35,33333333;-4,333333333;S_Africa;Africa;Africa;ow;afr;no
