glottocode;iso_code;wals_code;language;genus;family;longitude;latitude;area;continent;macroarea;macrocontinent.3;macrocontinent.4;circumpacific
soma1255;som;som;Somali;Eastern Cushitic;Afro-Asiatic;45;3;Greater_Abyssinia;Africa;Africa;ow;afr;no
soni1259;snk;snn;Soninke;Western Mande;Niger-Congo;-10,5;15;African_Savannah;Africa;Africa;ow;afr;no
mani1235;mnx;sgb;Sougb;East Bird's Head;East Bird's Head;134;-1,5;N_Coast_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
stan1288;spa;spa;Spanish;Romance;Indo-European;-4;40;Europe;W_&_SW_Eurasia;Eurasia;ow;eur;no
squa1248;squ;squ;Squamish;Central Salish;Salishan;-123,16667;49,66667;Alaska-Oregon;W_N_America;North America;nw;nw;yes
koho1244;kpm;sre;Sre;Bahnaric;Austro-Asiatic;108;11,5;Southeast_Asia;S_&_SE_Asia;Eurasia;ow;eur;no
stie1250;sti;sti;Stieng;Bahnaric;Austro-Asiatic;106,75;11,83333;Southeast_Asia;S_&_SE_Asia;Eurasia;ow;eur;no
suen1241;sue;sue;Suena;Binanderean;Trans-New Guinea;147,55;-7,75;S_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
suki1245;sui;suk;Suki;Suki;Gogodala-Suki;141,75;-8;S_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
sulk1246;sua;sul;Sulka;Sulka;Sulka;151,91667;-5,08333;N_Coast_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
sund1252;sun;sun;Sundanese;Malayo-Sumbawan;Austronesian;107;-7;Southeast_Asia;S_&_SE_Asia;Papunesia;ow;eur;no
supy1237;spp;sup;Supyire;Gur;Niger-Congo;-5,58333;11,5;African_Savannah;Africa;Africa;ow;afr;no
susu1250;sus;sus;Susu;Western Mande;Niger-Congo;-13;10;African_Savannah;Africa;Africa;ow;afr;no
swah1253;swh;swa;Swahili;Bantoid;Niger-Congo;39;-6,5;S_Africa;Africa;Africa;ow;afr;no
swed1254;swe;swe;Swedish;Germanic;Indo-European;15;60;Europe;W_&_SW_Eurasia;Eurasia;ow;eur;no
east2440;mky;tab;Taba;South Halmahera - West New Guinea;Austronesian;127,5;0;Oceania;NG_&_Oceania;Papunesia;pac;pac;yes
tabl1243;tnm;tbl;Tabla;Sentani;Sentani;140,41667;-2,45;N_Coast_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
tada1238;dsq;;Tadaksahak;Songhay;Nilo-Saharan;2,33;16,68;African_Savannah;Africa;Africa;ow;afr;no
taga1272;bgs;;Tagabawa;Greater Central Philippine;Austronesian;125,17;6,97;Oceania;S_&_SE_Asia;Papunesia;ow;eur;no
taga1270;tgl;tag;Tagalog;Greater Central Philippine;Austronesian;121;15;Oceania;S_&_SE_Asia;Papunesia;ow;eur;no
taia1239;gpn;tap;Taiap;Gapun;Gapun;144,5;-4,08333;N_Coast_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
take1257;tkm;tkl;Takelma;Takelma;Takelma;-123;42,5;California;W_N_America;North America;nw;nw;yes
tama1331;tma;tma;Tama;Taman;Nilo-Saharan;22;14,5;African_Savannah;Africa;Africa;ow;afr;no
tana1290;tcb;tnc;Tanacross;Athapaskan;Na-Dene;-143,5;63,5;Alaska-Oregon;W_N_America;North America;nw;nw;yes
tapi1253;tpj;tpt;Tapiete;Tupi-Guaraní;Tupian;-61,66667;-19,75;SE_South_America;S_America;South America;nw;nw;yes
cent2131;tar;tce;Tarahumara (Central);Tarahumaran;Uto-Aztecan;-107,5;27,5;Mesoamerica;C_America;North America;nw;nw;yes
lowl1265;tac;twe;Tarahumara (Western);Tarahumaran;Uto-Aztecan;-108;27,5;Mesoamerica;C_America;North America;nw;nw;yes
tari1256;tae;tar;Tariana;Northern Arawakan;Arawakan;-69,16667;1;NE_South_America;S_America;South America;nw;nw;yes
tata1255;tat;tvo;Tatar;Turkic;Altaic;49,5;56;Inner_Asia;NC_Asia;Eurasia;ow;eur;no
taul1251;tuh;tll;Taulil;Taulil;Baining-Taulil;152,08333;-4,41667;N_Coast_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
taus1253;trr;tsr;Taushiro;Taushiro;Taushiro;-75,5;-3,25;NE_South_America;S_America;South America;nw;nw;yes
tauy1241;tya;tau;Tauya;Madang;Trans-New Guinea;145,33333;-5,75;Interior_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
tawa1275;tbo;taw;Tawala;Oceanic;Austronesian;150,66667;-10,33333;S_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
tbol1240;tbl;tbo;Tboli;Bilic;Austronesian;124,5;6,16667;Oceania;S_&_SE_Asia;Papunesia;ow;eur;no
tehi1237;kps;tht;Tehit;West Bird's Head;West Papuan;132;-1,5;N_Coast_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
tele1256;tlf;tlf;Telefol;Ok;Trans-New Guinea;141,75;-5;Interior_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
telu1262;tel;tel;Telugu;South-Central Dravidian;Dravidian;79;16;Indic;S_&_SE_Asia;Eurasia;ow;eur;no
nucl1339;teq;tmn;Temein;Temein;Nilo-Saharan;29,41667;11,91667;African_Savannah;Africa;Africa;ow;afr;no
temi1246;tea;tmr;Temiar;Aslian;Austro-Asiatic;101,5;5;Southeast_Asia;S_&_SE_Asia;Eurasia;ow;eur;no
tlac1235;tpt;tep;Tepehua (Tlachichilco);Totonacan;Totonacan;-98,25;20,58333;Mesoamerica;C_America;North America;nw;nw;yes
sout2976;stp;tps;Tepehuan (Southeastern);Tepiman;Uto-Aztecan;-104,5;23;Mesoamerica;C_America;North America;nw;nw;yes
teri1250;tfr;trb;Teribe;Talamanca;Chibchan;-82,66666667;9,333333333;Mesoamerica;C_America;North America;nw;nw;yes
tern1247;tft;trt;Ternate;North Halmaheran;West Papuan;127,25;0,83333;Oceania;NG_&_Oceania;Papunesia;pac;pac;yes
tetu1245;tet;ttn;Tetun;Central Malayo-Polynesian;Austronesian;126;-9;Oceania;NG_&_Oceania;Papunesia;pac;pac;yes
thai1261;tha;tha;Thai;Kam-Tai;Tai-Kadai;101;16;Southeast_Asia;S_&_SE_Asia;Eurasia;ow;eur;no
thul1246;tdh;thu;Thulung;Mahakiranti;Sino-Tibetan;86,5;27,41667;Indic;S_&_SE_Asia;Eurasia;ow;eur;no
ticu1245;tca;tic;Ticuna;Ticuna;Ticuna;-70,5;-4;NE_South_America;S_America;South America;nw;nw;yes
tigr1270;tig;tgr;Tigré;Semitic;Afro-Asiatic;38,5;16,5;Greater_Abyssinia;Africa;Africa;ow;afr;no
tigr1271;tir;tig;Tigrinya;Semitic;Afro-Asiatic;38,5;14,5;Greater_Abyssinia;Africa;Africa;ow;afr;no
apan1243;;;Tímbira (Apanjekra);Ge-Kaingang;Macro-Ge;-46,75;-5,94;NE_South_America;S_America;South America;nw;nw;yes
timu1245;tjm;tmc;Timucua;Timucua;Timucua;-82,5;30,25;E_North_America;E_N_America;North America;nw;nw;yes
tiri1258;cir;tin;Tinrin;Oceanic;Austronesian;165,75;-21,66667;Oceania;NG_&_Oceania;Papunesia;pac;pac;yes
trio1238;tri;tir;Tiriyo;Cariban;Cariban;-55,75;3,25;NE_South_America;S_America;South America;nw;nw;yes
nort1550;twf;twn;Tiwa (Northern);Kiowa-Tanoan;Kiowa-Tanoan;-105,5;36,5;Basin_and_Plains;E_N_America;North America;nw;nw;yes
tiwi1244;tiw;tiw;Tiwi;Tiwian;Australian;131;-11,5;N_Australia;Australia;Australia;pac;pac;yes
acat1239;tcf;tlp;Tlapanec;Subtiaba-Tlapanec;Oto-Manguean;-99;17,08333;Mesoamerica;C_America;North America;nw;nw;yes
tlin1245;tli;tli;Tlingit;Tlingit;Na-Dene;-135;59;Alaska-Oregon;W_N_America;North America;nw;nw;yes
toba1269;tob;tob;Toba;Guaicuruan;Guaicuruan;-59;-26,5;SE_South_America;S_America;South America;nw;nw;yes
toba1266;tti;tbt;Tobati;Oceanic;Austronesian;140,66667;-2,58333;N_Coast_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
tobe1252;tlb;tlo;Tobelo;North Halmaheran;West Papuan;128,5;1,5;Oceania;NG_&_Oceania;Papunesia;pac;pac;yes
toke1240;tkl;tke;Tokelauan;Oceanic;Austronesian;-172;-9;Oceania;NG_&_Oceania;Papunesia;pac;pac;yes
toll1241;jic;tol;Tol;Tol;Tol;-87;14,66667;Mesoamerica;C_America;North America;nw;nw;yes
kuan1248;ksd;tla;Tolai;Oceanic;Austronesian;152,08333;-4,25;N_Coast_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
tomm1242;dto;tms;Tommo So;Dogon;Niger-Congo;-3;15;African_Savannah;Africa;Africa;ow;afr;no
tong1325;ton;tng;Tongan;Oceanic;Austronesian;-175,1666667;-21,16666667;Oceania;NG_&_Oceania;Papunesia;pac;pac;yes
tonk1249;tqw;ton;Tonkawa;Tonkawa;Tonkawa;-96,75;30,25;Basin_and_Plains;E_N_America;North America;nw;nw;yes
toab1237;mlu;toq;Toqabaqita;Oceanic;Austronesian;160,5833333;-8,416666667;Oceania;NG_&_Oceania;Papunesia;pac;pac;yes
yecu1235;tlc;tot;Totonac (Misantla);Totonacan;Totonacan;-96,91667;19,91667;Mesoamerica;C_America;North America;nw;nw;yes
trum1247;tpy;tru;Trumai;Trumai;Trumai;-53,58333;-11,91667;NE_South_America;S_America;South America;nw;nw;yes
colo1256;cof;tsf;Tsafiki;Barbacoan;Barbacoan;-79,33333;-1;Andean;S_America;South America;nw;nw;yes
nucl1649;tsi;tsi;Tsimshian (Coast);Tsimshianic;Penutian;-129;52,5;Alaska-Oregon;W_N_America;North America;nw;nw;yes
tsou1248;tsu;tso;Tsou;Tsou;Austronesian;120,75;23,5;Southeast_Asia;S_&_SE_Asia;Papunesia;ow;eur;no
tebu1238;dzg;tbu;Tubu;Western Saharan;Nilo-Saharan;15;16;African_Savannah;Africa;Africa;ow;afr;no
tuca1252;tuo;tuc;Tucano;Tucanoan;Tucanoan;-69,16667;0,5;NE_South_America;S_America;South America;nw;nw;yes
nort2732;tji;;Tujia (Northern);Tujia;Sino-Tibetan;109,76;29,3;Southeast_Asia;S_&_SE_Asia;Eurasia;ow;eur;no
tuka1247;bhq;tuk;Tukang Besi;Celebic;Austronesian;123,5;-5,5;Oceania;NG_&_Oceania;Papunesia;pac;pac;yes
tune1241;baz;tnn;Tunen;Bantoid;Niger-Congo;10,66667;4,75;African_Savannah;Africa;Africa;ow;afr;no
tung1290;lcm;tnk;Tungak;Oceanic;Austronesian;150,25;-2,55;N_Coast_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
tuni1252;tun;tun;Tunica;Tunica;Tunica;-91;32,66667;E_North_America;E_N_America;North America;nw;nw;yes
turk1308;tuv;tna;Turkana;Nilotic;Nilo-Saharan;35,5;3;S_Africa;Africa;Africa;ow;afr;no
nucl1301;tur;tur;Turkish;Turkic;Altaic;35;39;Greater_Mesopotamia;W_&_SW_Eurasia;Eurasia;ow;eur;no
tuvi1240;tyv;tuv;Tuvan;Turkic;Altaic;95;52;Inner_Asia;NC_Asia;Eurasia;ow;eur;no
tuyu1244;tue;tuy;Tuyuca;Tucanoan;Tucanoan;-70,08333333;0,5;NE_South_America;S_America;South America;nw;nw;yes
tzel1254;tzh;;Tzeltal (Petalcingo);Mayan;Mayan;-92,28;16,64;Mesoamerica;C_America;North America;nw;nw;yes
cakc1244;tzj;tzu;Tzutujil;Mayan;Mayan;-91,33333;14,66667;Mesoamerica;C_America;North America;nw;nw;yes
udih1248;ude;udh;Udihe;Tungusic;Altaic;136,25;47,66667;N_Coast_Asia;NC_Asia;Eurasia;ow;eur;yes
udmu1245;udm;udm;Udmurt;Permic;Uralic;52,5;57,5;Inner_Asia;NC_Asia;Eurasia;ow;eur;no
uduk1239;udu;;Uduk;Koman;Koman;34,23;9,16;Greater_Abyssinia;Africa;Africa;ow;afr;no
ulit1238;uli;uli;Ulithian;Oceanic;Austronesian;139,5833333;9,916666667;Oceania;NG_&_Oceania;Papunesia;pac;pac;yes
ulwa1239;ulw;;Sumu;Misumalpan;Misumalpan;-83,58;12,93;Mesoamerica;C_America;North America;nw;nw;yes
unaa1239;mtg;una;Una;Mek;Trans-New Guinea;140;-4,66667;Interior_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
ngar1284;ung;ung;Ungarinjin;Wororan;Australian;126;-16,33333;N_Australia;Australia;Australia;pac;pac;yes
urad1239;urf;uhi;Uradhi;Pama-Nyungan;Australian;142,41667;-11,91667;N_Australia;Australia;Australia;pac;pac;yes
urak1238;urk;url;Urak Lawoi';Malayo-Sumbawan;Austronesian;98,33333;8;Southeast_Asia;S_&_SE_Asia;Eurasia;ow;eur;no
urar1246;ura;urn;Urarina;Urarina;Urarina;-75,5;-4,5;NE_South_America;S_America;South America;nw;nw;yes
urim1252;uri;uri;Urim;Urim;Torricelli;142,66667;-3,58333;N_Coast_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
uruu1244;ure;uru;Uru;Uru-Chipaya;Uru-Chipaya;-69;-16,75;Andean;S_America;South America;nw;nw;yes
urub1250;urb;urk;Urubú-Kaapor;Tupi-Guaraní;Tupian;-46,5;-2,33333;NE_South_America;S_America;South America;nw;nw;yes
usan1239;wnu;usa;Usan;Madang;Trans-New Guinea;145,16667;-4,83333;N_Coast_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
utes1238;ute;ute;Ute;Numic;Uto-Aztecan;-109;39;Basin_and_Plains;E_N_America;North America;nw;nw;yes
uzbe1247;uzn;uzb;Uzbek;Turkic;Altaic;66;39;Inner_Asia;NC_Asia;Eurasia;ow;eur;no
vaii1241;vai;vai;Vai;Western Mande;Niger-Congo;-11,25;6,91667;African_Savannah;Africa;Africa;ow;afr;no
viet1252;vie;vie;Vietnamese;Viet-Muong;Austro-Asiatic;106,5;10,5;Southeast_Asia;S_&_SE_Asia;Eurasia;ow;eur;no
wage1238;waq;wag;Wagiman;Wagiman;Australian;131,25;-14;N_Australia;Australia;Australia;pac;pac;yes
valm1241;van;wal;Walman;Wapei-Palei;Torricelli;142,5;-3,21667;N_Coast_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
wamb1258;wmb;wam;Wambaya;West Barkly;Australian;135,75;-18,66667;N_Australia;Australia;Australia;pac;pac;yes
wamb1259;wms;wbn;Wambon;Awju-Dumut;Trans-New Guinea;140,41667;-5,5;Interior_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
ngur1261;nbx;wan;Wangkumara;Pama-Nyungan;Australian;143;-27,33333;S_Australia;Australia;Australia;pac;pac;yes
waor1240;auc;wao;Waorani;Waorani;Waorani;-76,5;-1;NE_South_America;S_America;South America;nw;nw;yes
wapp1239;wao;wap;Wappo;Wappo;Wappo-Yukian;-122,5;38,5;California;W_N_America;North America;nw;nw;yes
wara1303;wba;wra;Warao;Warao;Warao;-61,66667;9,33333;NE_South_America;S_America;South America;nw;nw;yes
wara1290;wrz;wry;Waray (in Australia);Waray;Australian;131,25;-13,16667;N_Australia;Australia;Australia;pac;pac;yes
ward1246;wrr;wrd;Wardaman;Yangmanic;Australian;131;-15,5;N_Australia;Australia;Australia;pac;pac;yes
guar1293;gae;wrk;Warekena;Northern Arawakan;Arawakan;-67,5;1,5;NE_South_America;S_America;South America;nw;nw;yes
ware1253;wsa;wrm;Warembori;South Halmahera - West New Guinea;Austronesian;137,58333;-1,66667;N_Coast_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
wari1268;pav;war;Wari';Chapacura-Wanham;Chapacura-Wanham;-65;-11,33333;NE_South_America;S_America;South America;nw;nw;yes
wand1263;wnd;wrn;Warndarang;Maran;Australian;135,58333;-14,41667;N_Australia;Australia;Australia;pac;pac;yes
warr1258;wwr;wrw;Warrwa;Nyulnyulan;Australian;123,5;-17,5;N_Australia;Australia;Australia;pac;pac;yes
wash1253;was;was;Washo;Washo;Washo;-120;39,25;Basin_and_Plains;W_N_America;North America;nw;nw;yes
wata1253;wax;wtm;Watam;Lower Ramu;Lower Sepik-Ramu;144,5;-3,91667;N_Coast_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
waur1244;wau;wur;Waurá;Central Arawakan;Arawakan;-53;-13;NE_South_America;S_America;South America;nw;nw;yes
waya1270;oym;way;Wayampi;Tupi-Guaraní;Tupian;-52;1;NE_South_America;S_America;South America;nw;nw;yes
wels1247;cym;wel;Welsh;Celtic;Indo-European;-3;52;Europe;W_&_SW_Eurasia;Eurasia;ow;eur;no
wemb1241;xww;wem;Wembawemba;Pama-Nyungan;Australian;144;-35,33333;S_Australia;Australia;Australia;pac;pac;yes
weri1253;wer;wer;Weri;Goilalan;Trans-New Guinea;146,91667;-7,75;S_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
wich1264;mzh;wch;Wichí;Matacoan;Matacoan;-62,58333;-22,5;SE_South_America;S_America;South America;nw;nw;yes
wich1260;wic;wic;Wichita;Caddoan;Caddoan;-97,33333;33,33333;Basin_and_Plains;E_N_America;North America;nw;nw;yes
wint1259;wit;win;Wintu;Wintuan;Penutian;-122,5;41;California;W_N_America;North America;nw;nw;yes
wiyo1248;wiy;wiy;Wiyot;Wiyot;Algic;-124,16667;40,83333;California;W_N_America;North America;nw;nw;yes
kama1365;woi;woi;Woisika;Greater Alor;Timor-Alor-Pantar;124,83333;-8,25;Oceania;NG_&_Oceania;Papunesia;pac;pac;yes
woli1241;wlo;wlo;Wolio;Celebic;Austronesian;122,75;-5,5;Oceania;NG_&_Oceania;Papunesia;pac;pac;yes
womo1238;wmx;wom;Womo;Serra Hills;Skou;141,83333;-2,91667;N_Coast_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
yagu1244;yad;yag;Yagua;Peba-Yaguan;Peba-Yaguan;-72;-3,5;NE_South_America;S_America;South America;nw;nw;yes
yama1264;yag;yah;Yahgan;Yámana;Yámana;-68;-55;SE_South_America;S_America;South America;nw;nw;yes
yako1252;yky;ykm;Yakoma;Ubangi;Niger-Congo;18,41667;4,41667;African_Savannah;Africa;Africa;ow;afr;no
yalu1240;yal;;Yalunka;Western Mande;Niger-Congo;-11,28;9,97;African_Savannah;Africa;Africa;ow;afr;no
yami1256;yaa;yam;Yaminahua;Panoan;Panoan;-73;-8;NE_South_America;S_America;South America;nw;nw;yes
yana1271;ynn;yan;Yana;Yana;Hokan;-122;40,5;Basin_and_Plains;W_N_America;North America;nw;nw;yes
yaou1238;yre;;Yaouré;Eastern Mande;Niger-Congo;-5,58;6,95;African_Savannah;Africa;Africa;ow;afr;no
yape1248;yap;yap;Yapese;Yapese;Austronesian;138,16667;9,58333;Oceania;NG_&_Oceania;Papunesia;pac;pac;yes
yaqa1246;jaq;yqy;Yaqay;Marind Proper;Marind;139,25;-6,58333;S_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
yaqu1251;yaq;yaq;Yaqui;Cahita;Uto-Aztecan;-110,25;27,5;Mesoamerica;C_America;North America;nw;nw;yes
yare1248;yrb;yar;Yareba;Yareban;Yareban;148,5;-9,5;S_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
pume1238;yae;yrr;Yaruro;Yaruro;Yaruro;-68;7;NE_South_America;S_America;South America;nw;nw;yes
yavi1244;yvt;;Yavitero;Northern Arawakan;Arawakan;-67,43;9,82;NE_South_America;S_America;North America;nw;nw;yes
nucl1454;yva;yaw;Yawa;Yawa;Yawa;136,25;-1,75;N_Coast_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
yoku1256;yok;ywl;Yawelmani;Yokuts;Penutian;-119;35,41667;California;W_N_America;North America;nw;nw;yes
yeii1239;jei;yei;Yei;Morehead and Upper Maro Rivers;Morehead and Upper Maro Rivers;140,91667;-7,91667;S_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
yele1255;yle;yel;Yelî Dnye;Yele;Yele;154,16667;-11,36667;S_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
yess1239;yss;yes;Yessan-Mayo;Tama Sepik;Sepik;142,58333;-4,16667;N_Coast_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
yidi1250;yii;yid;Yidiny;Pama-Nyungan;Australian;145,75;-17;N_Australia;Australia;Australia;pac;pac;yes
yima1243;yee;yim;Yimas;Lower Sepik;Lower Sepik-Ramu;143,55;-4,66667;N_Coast_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
ying1247;yia;yng;Yingkarta;Pama-Nyungan;Australian;114,8333333;-25,16666667;S_Australia;Australia;Australia;pac;pac;yes
yoke1238;yki;;Yoke;South Halmahera - West New Guinea;Austronesian;138;-1,75;N_Coast_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
yoru1245;yor;yor;Yoruba;Defoid;Niger-Congo;4,33333;8;African_Savannah;Africa;Africa;ow;afr;no
yuca1254;yua;yct;Yucatec;Mayan;Mayan;-89;20;Mesoamerica;C_America;North America;nw;nw;yes
yuch1247;yuc;yuc;Yuchi;Yuchi;Yuchi;-86,75;35,75;E_North_America;E_N_America;North America;nw;nw;yes
sout2750;yux;yko;Yukaghir (Kolyma);Yukaghir;Yukaghir;150,83333;65,75;N_Coast_Asia;NC_Asia;Eurasia;ow;eur;yes
yuki1243;yuk;yki;Yuki;Yukian;Wappo-Yukian;-123,5;39,66667;California;W_N_America;North America;nw;nw;yes
gang1267;gcd;yuk;Yukulta;Tangkic;Australian;138,83333;-17,33333;N_Australia;Australia;Australia;pac;pac;yes
cent2127;esu;ypk;Yup'ik (Central);Eskimo;Eskimo-Aleut;-160;59,5;Alaska-Oregon;W_N_America;North America;nw;nw;yes
yura1255;yuz;yrc;Yuracare;Yuracare;Yuracare;-65,25;-16,58333;NE_South_America;S_America;South America;nw;nw;yes
yuro1248;yur;yur;Yurok;Yurok;Algic;-124;41,33333;California;W_N_America;North America;nw;nw;yes
zand1248;zne;zan;Zande;Ubangi;Niger-Congo;26;4;S_Africa;Africa;Africa;ow;afr;no
zapa1253;zro;zpr;Zaparo;Zaparoan;Zaparoan;-76,33333;-2;NE_South_America;S_America;South America;nw;nw;yes
isth1244;zai;zai;Zapotec (Isthmus);Zapotecan;Oto-Manguean;-95;16,41667;Mesoamerica;C_America;North America;nw;nw;yes
sant1451;zpi;zaq;Zapotec (Quiegolani);Zapotecan;Oto-Manguean;-96,08333;16,16667;Mesoamerica;C_America;North America;nw;nw;yes
sier1250;zaa;;Zapotec (Sierra de Juarez)/Zapotec (Macuiltianguis);Zapotecan;Oto-Manguean;-96,62;17,42;Mesoamerica;C_America;North America;nw;nw;yes
tlac1240;zpk;;Zapotec (Tlacolulita);Zapotecan;Oto-Manguean;-95,74;16,3;Mesoamerica;C_America;North America;nw;nw;yes
yala1267;zpu;;Zapotec (Yalálag);Zapotecan;Oto-Manguean;-96,22;17,21;Mesoamerica;C_America;North America;nw;nw;yes
yatz1235;zav;zya;Zapotec (Yatzachi);Zapotecan;Oto-Manguean;-96,2;17,2;Mesoamerica;C_America;North America;nw;nw;yes
zoog1238;zpq;zzo;Zapotec (Zoogocho);Zapotecan;Oto-Manguean;-96,25;17,25;Mesoamerica;C_America;North America;nw;nw;yes
guib1245;zgb;zhn;Zhuang (Northern);Kam-Tai;Tai-Kadai;108;24;Southeast_Asia;S_&_SE_Asia;Eurasia;ow;eur;no
chim1300;zoh;zch;Zoque (Chimalapa);Mixe-Zoque;Mixe-Zoque;-94,75;16,75;Mesoamerica;C_America;North America;nw;nw;yes
copa1236;zoc;zqc;Zoque (Copainalá);Mixe-Zoque;Mixe-Zoque;-93,25;17;Mesoamerica;C_America;North America;nw;nw;yes
aoua1234;aou;;Zoulei;Kadai;Tai-Kadai;105,85;26,8;Southeast_Asia;S_&_SE_Asia;Eurasia;ow;eur;yes
zulu1248;zul;zul;Zulu;Bantoid;Niger-Congo;30;-30;S_Africa;Africa;Africa;ow;afr;no
zuni1245;zun;zun;Zuni;Zuni;Zuni;-108,83333;35,08333;Basin_and_Plains;E_N_America;North America;nw;nw;yes
